alg,sfd,Graph,density,seed,num_samps
ncfa,18,random,0.1,0,50000
ncfa,34,random,0.1,1,50000
ncfa,18,random,0.1,2,50000
ncfa,19,random,0.1,3,50000
ncfa,27,random,0.1,4,50000
ncfa,21,random,0.1,5,50000
ncfa,35,random,0.1,6,50000
ncfa,14,random,0.1,7,50000
ncfa,28,random,0.1,8,50000
ncfa,43,random,0.1,9,50000
ncfa,30,random,0.2,0,50000
ncfa,41,random,0.2,1,50000
ncfa,32,random,0.2,2,50000
ncfa,37,random,0.2,3,50000
ncfa,38,random,0.2,4,50000
ncfa,41,random,0.2,5,50000
ncfa,53,random,0.2,6,50000
ncfa,23,random,0.2,7,50000
ncfa,45,random,0.2,8,50000
ncfa,61,random,0.2,9,50000
ncfa,40,random,0.3,0,50000
ncfa,78,random,0.3,1,50000
ncfa,38,random,0.3,2,50000
ncfa,41,random,0.3,3,50000
ncfa,50,random,0.3,4,50000
ncfa,47,random,0.3,5,50000
ncfa,59,random,0.3,6,50000
ncfa,23,random,0.3,7,50000
ncfa,52,random,0.3,8,50000
ncfa,79,random,0.3,9,50000
ncfa,75,random,0.5,0,50000
ncfa,141,random,0.5,1,50000
ncfa,60,random,0.5,2,50000
ncfa,82,random,0.5,3,50000
ncfa,104,random,0.5,4,50000
ncfa,103,random,0.5,5,50000
ncfa,82,random,0.5,6,50000
ncfa,43,random,0.5,7,50000
ncfa,112,random,0.5,8,50000
ncfa,150,random,0.5,9,50000
ncfa,135,random,0.7,0,50000
ncfa,262,random,0.7,1,50000
ncfa,134,random,0.7,2,50000
ncfa,137,random,0.7,3,50000
ncfa,202,random,0.7,4,50000
ncfa,228,random,0.7,5,50000
ncfa,206,random,0.7,6,50000
ncfa,72,random,0.7,7,50000
ncfa,188,random,0.7,8,50000
ncfa,284,random,0.7,9,50000
ncfa,249,random,0.9,0,50000
ncfa,517,random,0.9,1,50000
ncfa,247,random,0.9,2,50000
ncfa,247,random,0.9,3,50000
ncfa,348,random,0.9,4,50000
ncfa,359,random,0.9,5,50000
ncfa,232,random,0.9,6,50000
ncfa,74,random,0.9,7,50000
ncfa,355,random,0.9,8,50000
ncfa,442,random,0.9,9,50000
xi1pc,6,random,0.1,0,50000
xi1pc,0,random,0.1,1,50000
xi1pc,6,random,0.1,2,50000
xi1pc,0,random,0.1,3,50000
xi1pc,9,random,0.1,4,50000
xi1pc,8,random,0.1,5,50000
xi1pc,7,random,0.1,6,50000
xi1pc,6,random,0.1,7,50000
xi1pc,11,random,0.1,8,50000
xi1pc,47,random,0.1,9,50000
xi1pc,18,random,0.2,0,50000
xi1pc,14,random,0.2,1,50000
xi1pc,11,random,0.2,2,50000
xi1pc,7,random,0.2,3,50000
xi1pc,29,random,0.2,4,50000
xi1pc,19,random,0.2,5,50000
xi1pc,22,random,0.2,6,50000
xi1pc,13,random,0.2,7,50000
xi1pc,7,random,0.2,8,50000
xi1pc,11,random,0.2,9,50000
xi1pc,9,random,0.3,0,50000
xi1pc,5,random,0.3,1,50000
xi1pc,0,random,0.3,2,50000
xi1pc,7,random,0.3,3,50000
xi1pc,9,random,0.3,4,50000
xi1pc,0,random,0.3,5,50000
xi1pc,7,random,0.3,6,50000
xi1pc,13,random,0.3,7,50000
xi1pc,0,random,0.3,8,50000
xi1pc,0,random,0.3,9,50000
xi1pc,5,random,0.5,0,50000
xi1pc,17,random,0.5,1,50000
xi1pc,24,random,0.5,2,50000
xi1pc,6,random,0.5,3,50000
xi1pc,23,random,0.5,4,50000
xi1pc,30,random,0.5,5,50000
xi1pc,9,random,0.5,6,50000
xi1pc,2,random,0.5,7,50000
xi1pc,15,random,0.5,8,50000
xi1pc,0,random,0.5,9,50000
xi1pc,16,random,0.7,0,50000
xi1pc,0,random,0.7,1,50000
xi1pc,5,random,0.7,2,50000
xi1pc,16,random,0.7,3,50000
xi1pc,0,random,0.7,4,50000
xi1pc,8,random,0.7,5,50000
xi1pc,9,random,0.7,6,50000
xi1pc,13,random,0.7,7,50000
xi1pc,16,random,0.7,8,50000
xi1pc,89,random,0.7,9,50000
xi1pc,14,random,0.9,0,50000
xi1pc,126,random,0.9,1,50000
xi1pc,42,random,0.9,2,50000
xi1pc,0,random,0.9,3,50000
xi1pc,17,random,0.9,4,50000
xi1pc,7,random,0.9,5,50000
xi1pc,0,random,0.9,6,50000
xi1pc,3,random,0.9,7,50000
xi1pc,25,random,0.9,8,50000
xi1pc,0,random,0.9,9,50000
